gauge_id,station_type,daily_flow_period_start,daily_flow_period_end,daily_flow_perc_complete,hourly_flow_period_start,hourly_flow_period_end,hourly_flow_perc_complete,bankfull_flow,structurefull_flow,max_gauging_flow_date,max_gauging_flow,max_daily_flow,daily_flow_extrap_dur,max_hourly_flow,hourly_flow_extrap_dur,q5_uncert_upper,q5_uncert_lower,q25_uncert_upper,q25_uncert_lower,q50_uncert_upper,q50_uncert_lower,q75_uncert_upper,q75_uncert_lower,q95_uncert_upper,q95_uncert_lower,q99_uncert_upper,q99_uncert_lower,quncert_meta
11004,VA,1984-03-10,2022-09-30,71.98,1990-10-01 09:00:00,2022-10-01 08:00:00,100.00,30.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.95,-12.06,11.08,-10.86,12.10,-12.11,11.98,-11.69,10.37,-10.11,Calculated discharge uncertainties
12001,VA,1970-10-01,2022-09-30,100.00,1990-10-01 09:00:00,2022-10-01 08:00:00,100.00,1000.00,NaN,03-Oct-1981 12:00:00,450.60,860.80,0.04,1360.11,0.08,15.08,-14.90,13.44,-13.24,11.25,-11.31,10.22,-10.22,9.54,-9.63,8.49,-8.40,Calculated discharge uncertainties
12002,VA,1972-11-01,2022-09-30,95.99,1990-10-01 09:00:00,2022-10-01 08:00:00,100.00,1100.00,NaN,22-Nov-2002 10:41:00,671.79,803.70,0.02,1245.02,0.04,23.95,-23.77,13.53,-13.07,10.45,-10.43,9.47,-9.50,8.91,-9.20,8.28,-8.51,Calculated discharge uncertainties
12005,VA,1976-10-01,2022-09-30,88.46,1990-10-01 09:00:00,2022-10-01 08:00:00,100.00,60.00,NaN,03-Oct-1981 12:00:00,71.99,87.92,0.04,233.46,0.04,24.67,-24.75,14.86,-14.85,20.74,-20.93,27.80,-26.26,14.46,-13.54,11.13,-10.20,Calculated discharge uncertainties
12006,VA,1978-11-01,2022-09-30,84.45,1990-10-01 09:00:00,2022-10-01 08:00:00,100.00,60.00,NaN,08-Nov-2000 14:21:00,48.83,70.13,0.04,119.33,0.12,18.98,-18.24,15.87,-16.06,12.50,-12.52,9.75,-9.79,15.02,-14.22,9.95,-10.11,Calculated discharge uncertainties
12007,VA,1982-09-10,2022-09-30,77.03,1990-10-01 09:00:00,2022-10-01 08:00:00,100.00,250.00,NaN,17-May-1993 12:00:00,195.30,225.60,0.01,393.72,0.03,21.66,-22.10,19.14,-18.52,16.83,-16.78,11.67,-11.24,11.06,-10.39,7.65,-7.72,Calculated discharge uncertainties
12008,VA,1985-01-14,2022-09-30,72.52,1990-10-01 09:00:00,2022-10-01 08:00:00,100.00,400.00,NaN,22-Jan-2014 10:31:00,141.49,163.00,0.04,308.47,0.07,24.05,-23.96,15.69,-15.47,19.98,-20.19,16.42,-16.40,14.93,-15.02,14.00,-13.77,Calculated discharge uncertainties
12009,FL,1983-01-01,2021-04-01,73.09,1991-01-01 09:00:00,2021-04-01 11:00:00,94.52,30.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Less than 20 stage-discharge measurements available for most recent rating
13001,VA,1979-09-01,2022-09-30,82.85,1990-10-01 09:00:00,2022-10-01 08:00:00,100.00,50.00,NaN,07-Nov-2000 13:57:00,42.34,58.32,0.01,105.82,0.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Less than 20 stage-discharge measurements available for most recent rating
13004,VA,1985-01-01,2022-09-30,72.59,1991-01-01 09:00:00,2022-10-01 08:00:00,99.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.46,-19.50,26.08,-25.71,19.88,-17.58,10.74,-11.70,10.82,-11.57,7.55,-8.14,Calculated discharge uncertainties
13005,VA,1981-02-01,2022-09-30,80.12,1991-01-01 09:00:00,2022-10-01 08:00:00,99.20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.42,-28.07,23.19,-21.41,14.31,-14.05,14.59,-15.33,9.14,-9.35,Calculated discharge uncertainties
13007,CC,1976-01-01,2022-09-30,89.90,1990-12-11 17:00:00,2022-10-01 08:00:00,99.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.55,-14.17,11.69,-11.25,27.62,-31.29,10.86,-11.96,17.45,-19.03,8.78,-8.97,Calculated discharge uncertainties
13008,VA,1983-01-01,2022-09-30,76.44,1990-10-01 09:00:00,2022-10-01 08:00:00,100.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.09,-15.71,11.29,-11.39,10.83,-11.35,9.74,-9.82,8.74,-8.65,10.14,-10.27,Calculated discharge uncertainties
14001,VA,1970-10-01,2022-09-30,100.00,1991-01-01 09:00:00,2022-10-01 08:00:00,99.21,47.00,NaN,01-Apr-1992 12:20:00,66.33,68.85,0.01,64.77,0.00,17.41,-17.28,17.47,-17.56,26.15,-31.51,20.11,-20.42,15.24,-15.09,9.01,-8.47,Calculated discharge uncertainties
14002,VA,1970-10-01,2022-09-30,98.07,1990-10-04 11:00:00,2022-10-01 08:00:00,99.97,55.00,NaN,23-Sep-1985 11:30:00,29.42,31.38,0.01,47.09,0.04,NaN,NaN,12.35,-12.05,10.62,-10.67,9.59,-9.38,10.78,-10.09,10.63,-10.25,Calculated discharge uncertainties
14005,VA,1984-01-01,2022-09-30,74.52,1991-01-01 09:00:00,2022-10-01 08:00:00,99.20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.60,-20.49,45.49,-47.49,27.38,-27.81,12.59,-12.48,14.04,-13.89,8.45,-7.98,Calculated discharge uncertainties
15006,VA,1970-10-01,2022-09-30,100.00,1990-10-01 09:00:00,2022-10-01 08:00:00,100.00,620.00,NaN,08-Oct-2023 14:13:51,1617.45,1965.00,0.02,2273.15,0.02,15.74,-15.37,11.51,-11.58,9.93,-10.08,6.62,-6.70,10.45,-10.48,9.54,-9.25,Calculated discharge uncertainties
15007,VA,1970-10-01,2022-09-30,100.00,1991-01-01 09:00:00,2022-10-01 08:00:00,99.21,NaN,NaN,07-Feb-1989 14:45:00,521.12,601.60,0.02,795.31,0.03,14.41,-14.43,10.57,-10.41,9.45,-9.28,10.23,-10.29,9.60,-9.47,9.66,-9.70,Calculated discharge uncertainties
15010,VA,1972-01-01,2022-09-30,95.67,1991-01-01 09:00:00,2022-10-01 08:00:00,99.21,57.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.39,-14.70,13.56,-13.60,11.89,-11.78,10.08,-9.58,10.54,-10.12,14.69,-14.33,Calculated discharge uncertainties
15011,VA,1970-10-01,2022-09-30,100.00,1991-01-01 09:00:00,2022-10-01 08:00:00,99.21,370.00,NaN,04-Feb-1990 15:15:00,294.66,365.70,0.01,530.49,0.02,12.85,-12.37,13.39,-13.08,9.24,-9.26,11.57,-11.02,8.06,-7.37,14.14,-12.93,Calculated discharge uncertainties
15012,VA,1973-01-01,2022-09-30,95.67,1990-11-23 15:00:00,2022-10-01 08:00:00,99.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Less than 20 stage-discharge measurements available for most recent rating
15013,VA,1970-10-01,2022-09-30,99.89,1990-12-11 12:00:00,2022-10-01 08:00:00,99.39,195.00,NaN,17-May-1993 17:30:00,136.69,169.30,0.01,232.97,0.03,22.85,-23.18,14.54,-14.19,13.79,-13.71,10.49,-10.39,11.18,-11.38,9.85,-9.69,Calculated discharge uncertainties
15014,VA,1985-01-01,2022-09-30,72.59,1991-01-01 09:00:00,2022-10-01 08:00:00,99.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.66,-26.45,16.04,-14.13,11.52,-11.33,14.74,-13.88,11.29,-11.61,9.51,-9.27,Calculated discharge uncertainties
15016,VA,1974-01-01,2022-09-30,93.75,1991-01-01 10:00:00,2022-10-01 08:00:00,99.21,34.00,NaN,01-Jan-1974 20:00:00,600.00,361.60,0.00,336.51,0.00,13.65,-14.02,14.18,-12.29,8.74,-8.94,8.24,-8.06,11.18,-11.78,11.38,-12.78,Calculated discharge uncertainties
15021,VA,1984-01-01,2021-03-31,71.45,1991-01-01 09:00:00,2021-04-01 09:00:00,94.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.46,-36.06,29.48,-27.86,19.28,-19.05,15.93,-15.88,12.40,-12.62,9.58,-10.63,Calculated discharge uncertainties
15023,VA,1983-01-01,2022-09-30,76.44,1991-01-01 09:00:00,2022-10-01 08:00:00,99.21,NaN,NaN,27-Nov-1984 14:45:00,142.53,125.00,0.00,354.62,0.03,28.67,-28.67,16.42,-16.11,17.60,-17.49,12.29,-12.19,9.69,-9.58,12.06,-11.90,Calculated discharge uncertainties
15024,VA,1982-01-01,2022-09-30,78.36,1990-10-25 15:00:00,2022-10-01 08:00:00,99.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.46,-21.28,15.59,-15.21,13.18,-13.65,11.25,-11.38,8.86,-9.15,8.91,-8.50,Calculated discharge uncertainties
15025,VA,1985-01-01,2022-09-30,72.59,1990-11-15 13:00:00,2022-10-01 08:00:00,99.61,NaN,NaN,17-Jan-1993 08:15:00,381.66,231.90,0.00,422.90,0.00,15.50,-15.06,14.24,-14.58,11.45,-11.41,11.70,-11.65,9.96,-9.94,8.74,-8.54,Calculated discharge uncertainties
15030,VA,1989-07-14,2022-09-30,63.88,1990-10-01 09:00:00,2022-10-01 08:00:00,100.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.20,-18.47,13.87,-13.25,11.96,-11.67,9.32,-8.55,13.03,-12.73,8.89,-8.95,Calculated discharge uncertainties
15039,VA,1992-01-01,2022-09-30,59.13,1991-08-15 13:00:00,2022-10-01 08:00:00,97.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Less than 20 stage-discharge measurements available for most recent rating
16001,VA,1970-10-01,2022-09-30,100.00,1990-10-01 09:00:00,2022-10-01 08:00:00,100.00,147.70,NaN,16-Jan-1993 00:00:00,358.00,287.10,0.00,356.28,0.00,19.42,-19.37,46.97,-46.95,39.82,-39.79,23.55,-23.56,15.61,-15.58,19.12,-19.12,Calculated discharge uncertainties
16003,VA,1970-10-01,2022-09-30,99.99,1991-01-01 09:00:00,2022-10-01 08:00:00,99.21,159.40,NaN,01-Jan-1998 00:00:00,229.43,123.90,0.00,228.02,0.00,24.74,-25.85,16.60,-17.31,13.27,-13.41,13.65,-13.59,9.96,-10.24,8.93,-8.72,Calculated discharge uncertainties
16004,VA,1972-10-01,2022-09-30,96.15,1991-01-01 09:00:00,2022-10-01 08:00:00,99.21,130.00,NaN,17-Jan-1993 00:01:00,415.00,356.40,0.00,412.61,0.00,25.14,-23.77,33.53,-33.30,19.76,-19.75,15.08,-15.04,16.83,-16.90,12.40,-12.43,Calculated discharge uncertainties
17001,FV,1970-10-01,2022-09-30,98.87,1992-06-21 09:00:00,2022-10-01 08:00:00,94.62,150.00,NaN,21-Feb-2020 14:23:00,104.26,121.10,0.01,158.81,0.02,NaN,NaN,13.88,-13.73,11.81,-11.31,10.67,-10.53,16.60,-17.08,11.48,-15.10,Calculated discharge uncertainties
17003,VA,1970-10-01,2022-09-30,99.99,1992-06-17 13:00:00,2022-10-01 08:00:00,94.64,NaN,NaN,23-Mar-1994 12:25:00,26.21,34.66,0.02,44.30,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Less than 20 stage-discharge measurements available for most recent rating
17004,VA,1972-12-01,2019-09-30,90.06,1992-06-21 09:00:00,2019-09-30 09:00:00,85.23,26.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Less than 20 stage-discharge measurements available for most recent rating
17005,VA,1970-10-01,2022-09-30,100.00,1992-06-17 09:00:00,2022-10-01 08:00:00,94.60,138.68,NaN,11-Dec-1997 00:01:00,69.99,130.80,0.04,173.29,0.07,NaN,NaN,16.95,-16.47,16.16,-16.18,10.88,-10.87,9.74,-9.66,9.63,-9.59,Calculated discharge uncertainties
17015,VA,1987-01-01,2022-09-30,68.74,1992-09-18 09:00:00,2022-10-01 08:00:00,93.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.55,-32.14,26.49,-26.61,14.48,-14.35,13.23,-13.29,8.08,-7.92,NaN,NaN,Calculated discharge uncertainties
17018,C,1994-08-02,2022-09-30,54.04,1994-08-01 09:00:00,2022-10-01 08:00:00,88.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.36,-47.17,24.70,-24.57,22.24,-22.06,21.23,-21.29,22.26,-21.84,20.44,-20.86,Calculated discharge uncertainties
18001,VA,1970-10-01,2022-09-30,100.00,1992-06-21 09:00:00,2022-10-01 08:00:00,94.62,NaN,NaN,14-Dec-2011 10:03:00,82.72,88.23,0.01,111.58,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Less than 20 stage-discharge measurements available for most recent rating
18002,VA,1970-10-01,2021-11-04,98.26,1992-06-21 09:00:00,2021-11-04 11:00:00,91.79,59.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.47,-30.31,39.58,-40.72,12.49,-14.62,14.15,-14.37,11.58,-11.87,Calculated discharge uncertainties
18003,VA,1970-10-01,2022-09-30,100.00,1992-06-21 09:00:00,2022-10-01 08:00:00,94.61,163.00,NaN,10-Jan-2005 14:04:00,256.42,315.60,0.05,400.64,0.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Less than 20 stage-discharge measurements available for most recent rating
18008,VA,1973-11-01,2022-09-30,92.07,1992-06-21 09:00:00,2022-10-01 08:00:00,94.62,127.00,NaN,30-Mar-1993 12:00:00,109.69,150.00,0.07,165.17,0.11,33.07,-34.02,16.87,-16.76,15.30,-15.83,13.16,-13.02,11.59,-11.11,10.24,-9.73,Calculated discharge uncertainties
18010,VA,1970-10-01,2022-09-30,94.73,1992-06-21 09:00:00,2022-10-01 08:00:00,92.34,137.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Less than 20 stage-discharge measurements available for most recent rating
18011,VA,1981-06-01,2022-09-30,79.49,1992-06-21 09:00:00,2022-10-01 08:00:00,94.62,190.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.16,-17.16,19.07,-19.08,12.16,-12.30,9.77,-9.75,9.10,-8.93,9.88,-9.50,Calculated discharge uncertainties
18014,VA,1979-01-01,2022-09-30,84.13,1992-10-01 09:00:00,2022-10-01 08:00:00,93.75,NaN,NaN,19-Nov-2009 10:15:00,21.50,35.05,0.01,33.24,0.02,NaN,NaN,21.30,-20.20,15.87,-16.24,10.76,-10.44,10.29,-10.34,9.51,-8.80,Calculated discharge uncertainties
18017,C,1982-01-21,1996-12-31,28.69,,,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,No stage-discharge measurements available
18018,C,1983-01-01,1996-12-31,26.93,,,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,No stage-discharge measurements available
19001,VA,1970-10-01,2022-09-30,100.00,1992-06-01 09:00:00,2022-10-01 08:00:00,94.79,215.00,NaN,22-Nov-1963 00:01:00,120.33,147.20,0.03,188.44,0.09,26.40,-26.23,20.28,-20.50,17.36,-17.51,12.65,-12.66,13.27,-13.11,6.08,-5.85,Calculated discharge uncertainties
19006,VA,1970-10-01,2022-09-30,99.99,1992-06-01 09:00:00,2022-10-01 08:00:00,94.79,86.00,NaN,08-Jan-1991 00:00:00,32.17,52.25,0.01,87.47,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Less than 20 stage-discharge measurements available for most recent rating
19010,C+C,1970-10-01,2022-09-30,98.49,1990-10-01 09:00:00,2022-10-01 08:00:00,99.98,NaN,20.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Discharge uncertainty estimates not provided
19017,MIS,1986-01-01,2022-09-30,70.63,1992-07-01 09:00:00,2022-10-01 08:00:00,94.46,NaN,NaN,26-Apr-2000 10:45:00,14.18,17.88,0.02,25.40,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Less than 20 stage-discharge measurements available for most recent rating
19020,MIS,1986-01-01,2022-09-30,70.66,1992-10-01 12:00:00,2022-10-01 08:00:00,93.73,27.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Less than 20 stage-discharge measurements available for most recent rating
20002,MIS,1970-10-01,2022-09-30,100.00,1992-10-01 09:00:00,2022-10-01 08:00:00,93.73,78.00,1.10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Less than 20 stage-discharge measurements available for most recent rating
20003,VA,1970-10-01,2022-09-30,99.67,1992-06-21 11:00:00,2022-10-01 08:00:00,94.62,130.00,NaN,04-Sep-2009 09:00:00,41.92,59.98,0.03,89.81,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Less than 20 stage-discharge measurements available for most recent rating
20007,VA,1973-01-01,2022-09-30,95.63,1992-05-30 09:00:00,2022-10-01 08:00:00,94.73,NaN,NaN,07-Nov-2000 13:18:00,25.19,46.09,0.02,43.06,0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Less than 20 stage-discharge measurements available for most recent rating
2001,VA,1975-01-01,2022-09-30,91.82,1990-10-01 09:00:00,2022-10-01 08:00:00,100.00,103.60,NaN,19-Jan-2004 14:27:00,167.75,187.60,0.01,257.48,0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Less than 20 stage-discharge measurements available for most recent rating
2002,VA,1993-05-01,2022-09-30,56.57,1993-05-01 09:00:00,2022-10-01 08:00:00,91.93,39.30,NaN,19-Jan-2004 13:02:00,160.79,229.70,0.01,334.91,0.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,No stage-discharge measurements available
21003,VA,1970-10-01,2022-09-30,100.00,1990-10-01 09:00:00,2022-10-01 08:00:00,100.00,220.00,NaN,24-Jan-2018 12:35:00,346.12,306.70,0.00,495.34,0.01,20.80,-20.40,13.03,-13.11,12.98,-12.37,8.34,-8.34,8.73,-8.85,8.30,-8.26,Calculated discharge uncertainties
21006,VA,1970-10-01,2022-09-30,100.00,1990-10-01 09:00:00,2022-10-01 08:00:00,100.00,808.00,NaN,12-Oct-2005 10:00:00,571.76,632.30,0.01,739.00,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Less than 20 stage-discharge measurements available for most recent rating
21008,VA,1970-10-01,2022-09-30,100.00,1990-10-01 09:00:00,2022-10-01 08:00:00,100.00,411.00,NaN,12-Sep-1962 00:00:00,370.14,554.80,0.04,668.25,0.09,16.12,-15.71,11.27,-11.43,9.32,-9.23,9.60,-9.73,10.34,-10.44,7.75,-7.90,Calculated discharge uncertainties
21009,VA,1970-10-01,2022-09-30,100.00,1990-10-01 09:00:00,2022-10-01 08:00:00,100.00,1300.00,NaN,01-Jan-1956 00:00:00,1184.20,1327.00,0.01,1474.76,0.02,18.53,-18.64,16.30,-16.17,9.53,-9.58,8.63,-8.51,7.37,-7.47,8.35,-8.48,Calculated discharge uncertainties
21011,VA,1970-10-01,2022-09-30,100.00,1990-10-01 09:00:00,2022-10-01 08:00:00,99.98,296.00,NaN,11-Jan-1965 00:00:00,79.69,177.60,0.06,243.68,0.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Less than 20 stage-discharge measurements available for most recent rating
21012,VA,1970-10-01,2022-09-30,100.00,1990-10-01 09:00:00,2022-10-01 08:00:00,100.00,134.00,NaN,14-Jan-1975 12:01:00,185.50,263.50,0.02,334.74,0.09,51.21,-50.78,21.06,-21.30,12.51,-12.35,10.81,-10.67,11.08,-11.12,8.67,-8.60,Calculated discharge uncertainties
21013,VA,1970-10-01,2022-09-30,100.00,1990-10-01 09:00:00,2022-10-01 08:00:00,99.90,180.00,NaN,22-Oct-2002 00:00:00,83.73,78.80,0.00,105.81,0.01,18.64,-17.48,17.81,-17.26,14.61,-14.52,9.89,-9.97,9.43,-9.49,8.14,-8.09,Calculated discharge uncertainties
21015,VA,1970-10-01,2022-09-30,100.00,1990-10-01 09:00:00,2022-10-01 08:00:00,100.00,120.00,NaN,31-Oct-1977 00:00:00,68.96,125.70,0.02,165.74,0.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Less than 20 stage-discharge measurements available for most recent rating
21016,VA,1970-10-01,2022-09-30,100.00,1990-10-01 09:00:00,2022-10-01 08:00:00,99.96,92.00,NaN,28-Dec-1978 00:00:00,32.63,49.73,0.05,161.70,0.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Less than 20 stage-discharge measurements available for most recent rating
21017,VA,1970-10-01,2022-09-30,100.00,1990-10-01 09:00:00,2022-10-01 08:00:00,100.00,200.00,NaN,25-Feb-1966 00:00:00,61.83,54.42,0.00,110.35,0.02,30.85,-30.67,14.68,-13.92,15.33,-15.45,17.34,-17.89,8.66,-8.14,11.58,-22.52,Calculated discharge uncertainties
21018,VA,1970-10-01,2022-09-30,99.96,1990-10-01 09:00:00,2022-10-01 08:00:00,100.00,36.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Less than 20 stage-discharge measurements available for most recent rating
21022,CC,1970-10-01,2022-09-30,100.00,1990-10-01 09:00:00,2022-10-01 08:00:00,99.47,NaN,175.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Less than 20 stage-discharge measurements available for most recent rating
21023,VA,1970-11-01,2022-09-30,99.84,1990-10-01 09:00:00,2022-10-01 08:00:00,99.96,NaN,3.00,NaN,NaN,NaN,NaN,NaN,NaN,20.66,-20.49,22.55,-22.32,12.98,-12.32,10.64,-9.84,9.26,-9.39,NaN,NaN,Calculated discharge uncertainties
21024,VA,1971-08-01,2022-09-30,98.40,1990-10-01 09:00:00,2022-10-01 08:00:00,99.94,112.00,NaN,08-Dec-1994 00:00:00,69.57,84.84,0.01,138.95,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Less than 20 stage-discharge measurements available for most recent rating
21026,VA,1973-06-01,2022-09-30,91.03,1990-10-01 09:00:00,2022-10-01 08:00:00,99.49,80.00,NaN,14-Jan-1975 00:00:00,31.43,51.16,0.04,56.84,0.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Less than 20 stage-discharge measurements available for most recent rating
21027,VA,1973-11-01,2022-09-30,94.07,1990-10-01 09:00:00,2022-10-01 08:00:00,100.00,21.00,NaN,01-Apr-1992 00:00:00,85.65,78.57,0.00,134.38,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Less than 20 stage-discharge measurements available for most recent rating
