gauge_id,sand_perc,sand_perc_missing,silt_perc,silt_perc_missing,clay_perc,clay_perc_missing,organic_perc,organic_perc_missing,bulkdens,bulkdens_missing,bulkdens_5,bulkdens_50,bulkdens_95,tawc,tawc_missing,tawc_5,tawc_50,tawc_95,porosity_cosby,porosity_cosby_missing,porosity_cosby_5,porosity_cosby_50,porosity_cosby_95,porosity_hypres,porosity_hypres_missing,porosity_hypres_5,porosity_hypres_50,porosity_hypres_95,conductivity_cosby,conductivity_cosby_missing,conductivity_cosby_5,conductivity_cosby_50,conductivity_cosby_95,conductivity_hypres,conductivity_hypres_missing,conductivity_hypres_5,conductivity_hypres_50,conductivity_hypres_95,root_depth,root_depth_missing,root_depth_5,root_depth_50,root_depth_95,soil_depth_pelletier,soil_depth_pelletier_missing,soil_depth_pelletier_5,soil_depth_pelletier_50,soil_depth_pelletier_95
11004,57.64,0.00,27.23,0.00,15.13,0.00,1.29,0.00,1.45,0.00,1.10,1.38,1.73,74.82,0.00,33.89,95.39,110.37,41.76,0.00,37.94,43.47,44.36,41.89,0.00,32.00,45.00,52.00,2.06,0.00,1.17,1.62,6.73,1.52,0.00,1.27,1.43,2.28,0.93,0.00,0.50,1.30,1.30,4.45,0.00,1.00,1.00,27.00
12001,64.32,2.32,20.66,2.32,15.02,2.32,7.37,2.32,1.31,2.32,0.28,1.59,1.73,82.35,2.32,33.89,43.42,235.65,40.81,2.32,37.94,40.10,44.36,45.95,2.32,32.00,39.00,81.00,2.20,2.32,1.15,4.20,6.73,1.78,2.32,1.34,2.10,3.13,0.71,2.32,0.30,0.50,1.30,1.34,0.00,0.00,1.00,2.00
12002,63.58,1.75,21.59,1.75,14.83,1.75,7.59,1.75,1.29,1.75,0.28,1.51,1.73,84.97,1.75,33.89,43.67,235.65,40.92,1.75,37.94,42.75,43.82,46.67,1.75,32.00,42.00,81.00,2.17,1.75,1.15,3.48,6.73,1.78,1.75,1.34,2.10,3.13,0.73,1.75,0.30,0.50,1.30,1.54,0.09,0.00,1.00,2.00
12005,50.80,0.91,24.73,0.91,24.47,0.91,18.54,0.91,0.85,0.91,0.28,0.28,1.73,148.48,0.91,33.89,235.65,235.65,42.38,0.91,37.94,43.60,45.57,61.79,0.91,32.00,81.00,81.00,1.38,0.91,0.52,1.15,6.73,2.00,0.91,0.53,3.13,3.13,0.95,0.91,0.30,1.30,1.30,0.92,0.00,0.00,1.00,1.00
12006,69.89,0.09,16.02,0.09,14.09,0.09,6.84,0.09,1.37,0.09,0.28,1.65,1.73,73.14,0.09,33.89,34.39,235.65,40.06,0.09,37.94,38.04,43.65,43.43,0.09,32.00,33.00,81.00,2.47,0.09,1.15,6.21,6.73,1.85,0.09,1.45,2.10,3.13,0.65,0.09,0.30,0.50,1.30,0.91,0.00,0.00,1.00,1.00
12007,64.13,7.32,19.31,7.32,16.56,7.32,8.65,7.32,1.28,7.32,0.28,1.59,NaN,85.85,7.32,33.89,43.67,NaN,40.78,7.32,37.94,40.10,NaN,46.96,7.32,32.00,39.00,NaN,2.09,7.32,1.15,4.20,NaN,1.82,7.32,1.45,2.10,NaN,0.67,7.32,0.30,0.50,NaN,0.84,0.00,0.00,1.00,1.00
12008,63.51,0.00,19.20,0.00,17.29,0.00,13.56,0.00,1.10,0.00,0.28,1.51,1.73,116.61,0.00,33.89,43.42,235.65,40.84,0.00,37.94,40.10,43.65,53.04,0.00,32.00,39.00,81.00,1.92,0.00,1.15,3.48,6.73,1.89,0.00,1.45,2.10,3.13,0.86,0.00,0.50,0.50,1.30,1.09,0.00,1.00,1.00,2.00
12009,47.18,0.00,26.83,0.00,25.99,0.00,24.80,0.00,0.59,0.00,0.28,0.28,1.65,186.84,0.00,33.89,235.65,235.65,42.84,0.00,38.04,43.60,43.64,70.45,0.00,33.00,81.00,81.00,1.27,0.00,1.15,1.15,6.21,2.28,0.00,1.51,3.13,3.13,1.13,0.00,0.50,1.30,1.30,0.98,0.00,1.00,1.00,1.00
13001,46.73,0.00,33.29,0.00,19.98,0.00,2.49,0.00,1.32,0.00,1.10,1.38,1.65,94.88,0.00,34.39,102.07,108.92,43.12,0.00,38.04,43.74,43.74,46.51,0.00,33.00,45.00,52.00,1.60,0.00,1.38,1.39,6.21,1.49,0.00,1.34,1.36,2.28,1.11,0.00,0.50,1.30,1.30,3.24,0.00,1.00,1.00,23.00
13004,61.53,1.86,25.30,1.86,13.17,1.86,4.92,1.86,1.32,1.86,0.28,1.43,1.65,67.29,1.86,33.89,49.67,235.65,41.28,1.86,38.04,42.75,44.91,45.33,1.86,33.00,42.00,81.00,2.23,1.86,1.15,2.31,6.21,1.78,1.86,1.34,2.10,3.13,0.60,1.86,0.30,0.50,1.30,0.92,0.00,0.00,1.00,1.00
13005,47.58,0.00,31.11,0.00,21.30,0.00,0.49,0.00,1.42,0.00,1.38,1.38,1.58,98.42,0.00,70.43,102.07,112.21,42.95,0.00,38.92,43.74,43.97,43.63,0.00,37.00,45.00,45.00,1.59,0.00,1.39,1.39,4.90,1.40,0.00,1.36,1.36,1.61,1.30,0.00,1.30,1.30,1.30,7.53,0.04,1.00,1.00,35.00
13007,48.20,0.00,31.65,0.00,20.16,0.00,7.87,0.00,1.14,0.00,0.28,1.38,1.65,109.13,0.00,33.89,102.07,235.65,42.91,0.00,38.04,43.64,43.74,52.02,0.00,33.00,45.00,81.00,1.55,0.00,1.15,1.39,6.21,1.68,0.00,1.36,1.51,3.13,0.99,0.00,0.50,1.30,1.30,5.98,0.00,1.00,1.00,39.00
13008,51.60,0.41,29.93,0.41,18.48,0.41,5.70,0.41,1.24,0.41,0.28,1.38,1.65,92.68,0.41,33.89,97.81,235.65,42.49,0.41,38.04,43.60,43.74,48.59,0.41,33.00,45.00,81.00,1.71,0.41,1.15,1.39,6.21,1.66,0.41,1.36,1.61,3.13,0.88,0.41,0.30,1.30,1.30,3.35,0.28,0.00,1.00,22.00
14001,47.29,0.00,31.00,0.00,21.71,0.00,0.61,0.00,1.40,0.00,1.36,1.38,1.51,95.71,0.00,70.43,102.07,112.21,42.98,0.00,40.10,43.74,44.36,44.19,0.00,40.00,45.00,47.00,1.59,0.00,1.17,1.39,3.42,1.41,0.00,1.27,1.36,1.64,1.27,0.00,1.30,1.30,1.30,7.62,0.56,1.00,1.00,50.00
14002,42.77,0.00,35.83,0.00,21.40,0.00,1.01,0.00,1.34,0.00,1.10,1.38,1.38,94.57,0.00,55.12,102.07,102.07,43.63,0.00,42.75,43.74,43.74,46.08,0.00,45.00,45.00,52.00,1.49,0.00,1.39,1.39,2.31,1.43,0.00,1.36,1.36,2.28,1.16,0.00,0.50,1.30,1.30,2.64,11.24,1.00,1.00,NaN
14005,43.61,0.00,36.61,0.00,19.78,0.00,1.19,0.00,1.32,0.00,1.10,1.38,1.38,91.11,0.00,55.12,102.07,102.07,43.57,0.00,42.75,43.74,43.74,46.38,0.00,45.00,45.00,52.00,1.55,0.00,1.39,1.39,2.31,1.45,0.00,1.36,1.36,2.28,1.10,0.00,0.50,1.30,1.30,3.33,0.00,1.00,1.00,18.00
15006,59.63,4.52,24.11,4.52,16.26,4.52,6.85,4.52,1.28,4.52,0.28,1.43,1.73,85.52,4.52,33.89,55.12,235.65,41.43,4.52,37.94,42.80,45.57,47.17,4.52,32.00,44.00,81.00,1.93,4.52,1.15,2.24,6.73,1.66,4.52,1.34,1.98,3.21,0.76,4.21,0.30,0.50,1.30,2.38,0.17,0.00,1.00,6.00
15007,56.39,5.90,25.14,5.90,18.47,5.90,10.53,5.90,1.13,5.90,0.28,1.38,NaN,100.76,5.90,33.89,60.86,NaN,41.81,5.90,37.94,43.60,NaN,52.07,5.90,32.00,50.00,NaN,1.66,5.90,0.52,2.24,NaN,1.67,5.90,0.53,2.10,NaN,0.76,5.68,0.30,0.50,NaN,1.07,0.00,0.00,1.00,2.00
15010,56.47,1.06,26.29,1.06,17.24,1.06,5.99,1.06,1.26,1.06,0.28,1.38,1.73,89.80,1.06,33.89,60.86,235.65,41.84,1.06,37.94,43.60,43.97,47.70,1.06,32.00,45.00,81.00,1.83,1.06,1.15,2.24,6.73,1.64,1.06,1.34,1.61,3.13,0.87,1.06,0.30,0.50,1.30,1.83,0.31,0.00,1.00,2.00
15011,56.52,7.62,24.46,7.62,19.02,7.62,10.98,7.62,1.13,7.62,0.28,1.43,NaN,101.58,7.62,33.89,49.67,NaN,41.77,7.62,38.02,43.60,NaN,52.12,7.62,33.00,44.00,NaN,1.70,7.62,0.56,1.84,NaN,1.83,7.62,0.78,2.10,NaN,0.74,7.18,0.30,0.50,NaN,1.00,0.00,0.00,1.00,2.00
15012,60.57,7.61,21.82,7.61,17.61,7.61,9.28,7.61,1.21,7.61,0.28,1.59,NaN,90.83,7.61,33.89,49.67,NaN,41.25,7.61,38.02,42.80,NaN,49.13,7.61,33.00,42.00,NaN,1.87,7.61,0.52,4.20,NaN,1.79,7.61,0.53,2.10,NaN,0.69,6.99,0.30,0.50,NaN,1.52,0.00,0.00,1.00,2.00
15013,56.05,0.55,28.77,0.55,15.19,0.55,1.32,0.55,1.44,0.55,1.17,1.38,1.73,72.51,0.55,34.39,60.86,102.07,41.98,0.55,37.94,43.64,43.74,42.06,0.55,32.00,45.00,50.00,2.01,0.55,1.39,1.84,6.73,1.48,0.55,1.36,1.45,2.10,0.87,0.55,0.30,0.70,1.30,1.23,0.00,0.00,1.00,2.00
15014,81.48,1.08,11.52,1.08,7.01,1.08,1.48,1.08,1.66,1.08,1.43,1.73,1.73,38.13,1.08,33.89,34.39,49.67,38.67,1.08,37.94,37.94,42.80,34.00,1.08,32.00,32.00,42.00,4.98,1.08,1.84,6.73,6.73,1.66,1.08,1.45,1.45,2.10,0.49,1.08,0.30,0.50,0.70,0.94,0.00,0.00,1.00,1.00
15016,54.94,6.25,24.30,6.25,20.77,6.25,12.02,6.25,1.08,6.25,0.28,1.38,NaN,111.22,6.25,33.89,60.86,NaN,41.93,6.25,37.94,43.60,NaN,53.89,6.25,32.00,50.00,NaN,1.49,6.25,0.52,1.84,NaN,1.57,6.25,0.53,2.10,NaN,0.83,6.11,0.30,0.70,NaN,1.04,0.00,0.00,1.00,2.00
15021,50.14,0.00,33.53,0.00,16.33,0.00,1.34,0.00,1.37,0.00,1.10,1.38,1.73,83.05,0.00,34.39,102.07,112.21,42.77,0.00,37.94,43.74,43.97,44.78,0.00,32.00,45.00,52.00,1.80,0.00,1.39,1.43,6.73,1.49,0.00,1.36,1.42,2.28,1.00,0.00,0.50,1.30,1.30,5.72,0.65,1.00,1.00,48.00
15023,76.55,0.97,16.58,0.97,6.88,0.97,1.73,0.97,1.58,0.97,1.10,1.73,1.73,44.06,0.97,33.89,34.39,89.89,39.37,0.97,37.94,37.94,43.64,36.72,0.97,32.00,32.00,52.00,4.10,0.97,1.84,6.73,6.73,1.59,0.97,1.45,1.45,2.28,0.55,0.97,0.30,0.50,1.30,1.15,0.00,1.00,1.00,2.00
15024,43.99,2.71,26.19,2.71,29.82,2.71,19.15,2.71,0.77,2.71,0.28,0.28,1.73,156.93,2.71,33.89,235.65,235.65,43.15,2.71,38.01,43.60,45.57,64.77,2.71,33.00,81.00,81.00,1.07,2.71,0.52,1.15,6.73,1.50,2.71,0.53,3.13,3.24,1.06,2.71,0.30,1.30,1.30,1.13,0.00,0.00,1.00,3.00
15025,70.73,1.53,19.91,1.53,9.36,1.53,2.24,1.53,1.50,1.53,1.10,1.65,1.73,49.42,1.53,33.89,37.70,108.92,40.11,1.53,37.94,38.04,43.82,39.21,1.53,32.00,34.00,52.00,3.20,1.53,1.38,6.21,6.73,1.67,1.53,1.36,1.61,2.28,0.56,1.30,0.30,0.50,1.30,1.01,0.00,0.00,1.00,1.00
15030,43.08,0.00,35.55,0.00,21.37,0.00,0.82,0.00,1.36,0.00,1.10,1.38,1.40,98.22,0.00,55.12,102.07,112.21,43.59,0.00,42.75,43.74,43.97,45.45,0.00,45.00,45.00,52.00,1.49,0.00,1.39,1.39,2.31,1.41,0.00,1.36,1.36,2.28,1.21,0.00,0.50,1.30,1.30,10.94,1.42,1.00,1.00,50.00
15039,57.31,6.54,24.00,6.54,18.69,6.54,11.40,6.54,1.15,6.54,0.28,1.43,NaN,102.73,6.54,37.70,49.67,NaN,41.67,6.54,38.02,42.80,NaN,51.72,6.54,34.00,42.00,NaN,1.91,6.54,1.15,1.84,NaN,2.09,6.54,1.61,2.10,NaN,0.65,6.54,0.30,0.30,NaN,0.88,0.00,0.00,1.00,1.00
16001,56.46,4.45,27.73,4.45,15.82,4.45,3.62,4.45,1.36,4.45,0.28,1.38,1.73,79.76,4.45,33.89,60.86,235.65,41.90,4.45,37.94,43.64,45.57,44.76,4.45,32.00,45.00,81.00,1.93,4.45,1.15,2.24,6.73,1.54,4.45,1.36,1.51,3.13,0.86,4.28,0.30,0.70,1.30,2.05,0.42,0.00,1.00,5.00
16003,56.32,2.32,25.51,2.32,18.16,2.32,8.80,2.32,1.17,2.32,0.28,1.38,1.65,96.39,2.32,33.89,60.86,235.65,41.83,2.32,38.04,43.60,45.57,50.47,2.32,33.00,45.00,81.00,1.71,2.32,0.52,2.24,6.21,1.71,2.32,0.53,2.10,3.13,0.80,2.64,0.30,0.50,1.30,0.93,0.00,0.00,1.00,1.00
16004,54.97,3.32,28.78,3.32,16.25,3.32,3.11,3.32,1.36,3.32,0.28,1.38,1.73,81.46,3.32,33.89,74.09,235.65,42.09,3.32,37.94,43.64,45.57,44.82,3.32,32.00,45.00,81.00,1.88,3.32,1.15,1.84,6.73,1.52,3.32,1.36,1.51,3.13,0.92,3.19,0.30,1.30,1.30,2.37,0.32,0.00,1.00,17.00
17001,55.03,3.66,28.80,3.66,16.18,3.66,6.08,3.66,1.21,3.66,0.28,1.38,1.65,90.33,3.66,33.89,60.86,235.65,42.09,3.66,38.04,43.60,45.57,49.32,3.66,33.00,50.00,81.00,1.86,3.66,1.15,2.31,6.21,1.73,3.66,1.34,2.10,3.13,0.88,3.66,0.50,0.50,1.30,1.08,2.69,1.00,1.00,2.00
17003,37.40,0.00,32.81,0.00,29.78,0.00,3.13,0.00,1.26,0.00,0.28,1.38,1.38,113.05,0.00,97.81,102.07,235.65,44.08,0.00,43.60,43.82,45.57,49.34,0.00,45.00,45.00,81.00,1.06,0.00,0.52,1.38,1.39,1.09,0.00,0.53,1.34,3.13,1.30,0.00,1.30,1.30,1.30,1.21,19.00,1.00,1.00,NaN
17004,39.81,0.00,33.28,0.00,26.91,0.00,3.36,0.00,1.27,0.00,0.28,1.37,1.38,113.10,0.00,95.48,108.92,235.65,43.85,0.00,43.60,43.82,45.57,48.61,0.00,45.00,45.00,81.00,1.21,0.00,0.52,1.34,1.38,1.26,0.00,0.53,1.34,3.13,1.30,0.00,1.30,1.30,1.30,5.66,5.88,1.00,1.00,NaN
17005,37.14,0.00,30.80,0.00,32.06,0.00,6.21,0.00,1.15,0.00,0.28,1.37,1.38,121.79,0.00,95.48,97.81,235.65,44.04,0.00,43.60,43.83,45.57,53.09,0.00,45.00,45.00,81.00,0.97,0.00,0.52,1.34,1.38,1.05,0.00,0.53,1.34,3.13,1.30,0.00,1.30,1.30,1.30,6.54,5.58,1.00,1.00,NaN
17015,46.28,0.00,39.57,0.00,14.15,0.00,2.14,0.00,1.24,0.00,1.10,1.17,1.38,76.19,0.00,55.12,60.86,102.07,43.40,0.00,42.75,43.64,43.74,48.55,0.00,45.00,50.00,52.00,1.80,0.00,1.39,2.24,2.31,1.61,0.00,1.36,1.51,2.28,0.83,0.00,0.50,0.50,1.30,8.28,0.00,1.00,1.00,50.00
17018,46.35,0.36,38.75,0.36,14.89,0.36,2.11,0.36,1.24,0.36,1.10,1.17,1.38,76.79,0.36,55.12,60.86,102.07,43.36,0.36,42.75,43.64,43.74,48.53,0.36,45.00,50.00,52.00,1.78,0.36,1.39,2.24,2.31,1.63,0.36,1.36,1.51,2.28,0.85,0.36,0.50,0.50,1.30,11.44,0.00,0.00,1.00,50.00
18001,48.10,0.00,30.06,0.00,21.84,0.00,5.94,0.00,1.22,0.00,0.28,1.38,1.65,104.51,0.00,33.89,102.07,235.65,42.86,0.00,38.04,43.74,45.57,49.53,0.00,33.00,45.00,81.00,1.43,0.00,0.52,1.39,6.21,1.44,0.00,0.53,1.36,3.13,1.07,0.00,0.50,1.30,1.30,1.47,0.00,1.00,1.00,2.00
18002,48.15,0.00,34.05,0.00,17.80,0.00,8.40,0.00,1.09,0.00,0.28,1.17,1.65,108.96,0.00,33.89,95.48,235.65,43.00,0.00,38.04,43.64,43.83,53.57,0.00,33.00,50.00,81.00,1.64,0.00,1.15,1.39,6.21,1.72,0.00,1.34,1.51,3.13,0.96,0.00,0.50,1.30,1.30,1.39,0.14,0.00,1.00,2.00
18003,49.38,6.96,25.12,6.96,25.49,6.96,11.26,6.96,1.07,6.96,0.28,1.38,NaN,120.74,6.96,33.89,102.07,NaN,42.54,6.96,38.02,43.60,NaN,54.57,6.96,33.00,45.00,NaN,1.28,6.96,0.52,1.39,NaN,1.47,6.96,0.53,2.10,NaN,1.01,6.57,0.30,1.30,NaN,1.17,0.35,0.00,1.00,2.00
18008,45.42,4.11,25.39,4.11,29.19,4.11,15.81,4.11,0.89,4.11,0.28,1.14,1.73,139.65,4.11,33.89,97.81,235.65,42.97,4.11,38.02,43.60,45.88,60.78,4.11,33.00,55.00,81.00,1.09,4.11,0.52,1.15,6.73,1.40,4.11,0.53,2.10,3.83,1.01,3.59,0.30,1.30,1.30,0.91,0.00,0.00,1.00,2.00
18010,51.29,0.94,28.64,0.94,20.08,0.94,5.67,0.94,1.26,0.94,0.28,1.38,1.65,104.07,0.94,33.89,102.07,235.65,42.47,0.94,38.04,43.74,43.97,48.17,0.94,33.00,45.00,81.00,1.64,0.94,1.15,1.39,6.21,1.61,0.94,1.34,1.42,3.13,1.07,0.94,0.50,1.30,1.30,7.40,0.00,1.00,1.00,50.00
18011,49.56,3.85,27.32,3.85,23.12,3.85,8.24,3.85,1.17,3.85,0.28,1.38,1.65,112.52,3.85,33.89,102.07,235.65,42.61,3.85,38.04,43.64,45.57,51.38,3.85,33.00,45.00,81.00,1.40,3.85,0.52,1.39,6.21,1.50,3.85,0.53,1.61,3.13,1.05,3.65,0.30,1.30,1.30,4.55,0.24,0.00,1.00,45.00
18014,50.90,0.00,35.50,0.00,13.60,0.00,5.14,0.00,1.17,0.00,0.28,1.17,1.65,81.60,0.00,33.89,60.86,235.65,42.77,0.00,38.04,43.60,43.83,50.47,0.00,33.00,50.00,81.00,1.93,0.00,1.15,2.24,6.21,1.79,0.00,1.34,2.10,3.13,0.80,0.00,0.50,0.50,1.30,1.63,4.93,1.00,1.00,21.00
18017,51.54,5.87,26.60,5.87,21.86,5.87,15.47,5.87,0.97,5.87,0.28,1.43,NaN,128.28,5.87,37.70,49.67,NaN,42.37,5.87,NaN,42.80,NaN,57.62,5.87,NaN,42.00,NaN,1.63,5.87,1.15,1.84,NaN,2.17,5.87,1.61,2.10,NaN,0.77,5.87,0.30,0.52,NaN,0.87,0.00,0.00,1.00,1.00
18018,60.37,3.03,18.81,3.03,20.82,3.03,13.39,3.03,1.10,3.03,0.28,1.14,1.73,118.97,3.03,34.39,97.81,235.65,41.16,3.03,37.94,42.85,45.57,53.68,3.03,32.00,55.00,81.00,1.49,3.03,0.52,1.15,6.73,1.39,3.03,0.53,1.45,3.13,0.91,3.03,0.50,1.30,1.30,0.83,0.00,0.00,1.00,1.00
19001,42.05,0.00,29.26,0.00,28.69,0.00,10.21,0.00,1.05,0.00,0.28,1.36,1.51,135.23,0.00,79.09,97.81,235.65,43.47,0.00,40.10,43.82,45.57,56.02,0.00,40.00,47.00,81.00,1.14,0.00,0.52,1.17,3.42,1.32,0.00,0.53,1.34,3.13,1.27,0.00,1.30,1.30,1.30,7.91,11.82,1.00,1.00,NaN
19006,57.68,0.00,20.37,0.00,21.94,0.00,6.22,0.00,1.29,0.00,0.28,1.51,1.73,97.77,0.00,33.89,89.89,235.65,41.50,0.00,37.94,40.10,45.57,47.37,0.00,32.00,40.00,81.00,1.48,0.00,0.52,3.42,6.73,1.27,0.00,0.53,1.45,3.13,1.04,0.00,0.50,1.30,1.30,1.27,21.76,1.00,1.00,NaN
19010,67.47,0.00,18.06,0.00,14.47,0.00,0.84,0.00,1.54,0.00,1.36,1.51,1.73,68.84,0.00,33.89,79.09,110.37,40.38,0.00,37.94,40.10,44.36,38.83,0.00,32.00,40.00,47.00,2.69,0.00,1.17,3.42,6.73,1.56,0.00,1.27,1.64,2.10,1.02,0.00,0.50,1.30,1.30,1.00,50.97,1.00,NaN,NaN
19017,41.57,0.00,29.70,0.00,28.72,0.00,5.61,0.00,1.19,0.00,0.28,1.37,1.51,116.60,0.00,79.09,95.48,235.65,43.53,0.00,40.10,43.83,45.57,51.31,0.00,40.00,45.00,81.00,1.13,0.00,0.52,1.34,3.42,1.19,0.00,0.53,1.34,3.13,1.30,0.00,1.30,1.30,1.30,8.83,13.81,1.00,1.00,NaN
19020,36.63,0.00,30.46,0.00,32.91,0.00,15.67,0.00,0.83,0.00,0.28,1.14,1.38,162.38,0.00,95.48,108.92,235.65,44.08,0.00,43.60,43.82,45.57,63.45,0.00,45.00,55.00,81.00,0.96,0.00,0.52,1.15,1.38,1.27,0.00,0.53,1.34,3.13,1.30,0.00,1.30,1.30,1.30,9.38,8.07,1.00,1.00,NaN
20002,48.12,0.00,29.36,0.00,22.52,0.00,0.54,0.00,1.41,0.00,1.36,1.37,1.51,93.31,0.00,79.09,95.48,110.37,42.83,0.00,40.10,43.83,44.36,43.89,0.00,40.00,45.00,47.00,1.58,0.00,1.17,1.34,3.42,1.40,0.00,1.27,1.34,1.64,1.30,0.00,1.30,1.30,1.30,12.63,0.00,1.00,1.00,49.00
20003,43.67,0.00,34.63,0.00,21.69,0.00,2.60,0.00,1.29,0.00,1.10,1.37,1.42,97.80,0.00,55.12,95.48,110.37,43.50,0.00,42.75,43.82,44.36,47.72,0.00,44.00,45.00,55.00,1.41,0.00,1.15,1.38,2.31,1.36,0.00,1.27,1.34,2.28,1.14,0.00,0.50,1.30,1.30,5.36,0.01,1.00,1.00,30.00
20007,57.19,0.00,25.12,0.00,17.68,0.00,2.45,0.00,1.36,0.00,1.10,1.38,1.65,76.69,0.00,33.89,79.09,108.92,41.72,0.00,38.04,42.75,45.57,44.51,0.00,33.00,45.00,55.00,1.73,0.00,0.52,2.31,6.21,1.35,0.00,0.53,1.52,2.28,0.95,0.00,0.50,1.30,1.30,2.93,0.00,1.00,1.00,20.00
2001,41.68,2.77,25.27,2.77,33.04,2.77,19.86,2.77,0.72,2.77,0.28,0.28,1.65,167.77,2.77,33.89,235.65,235.65,43.36,2.77,38.04,43.60,45.57,66.84,2.77,33.00,81.00,81.00,0.95,2.77,0.52,1.15,6.21,1.30,2.77,0.53,3.13,3.13,1.18,2.53,0.50,1.30,1.30,2.56,0.00,1.00,1.00,18.00
